"abstain","date","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
25,"2023-11-29T18:42:58","ELECTRONIC",238,21,1,6,10,"Pkt. 22 Sprawozdanie Komisji o obywatelskim projekcie ustawy o zmianie ustawy o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (druki nr 31 i 69)","poprawka nr 3, wniosek mniejszości nr 3",439,1,"PiS","Andrzej","Adamczyk","Mieczysław","YES",38,176
25,"2023-11-29T18:42:58","ELECTRONIC",238,21,1,6,10,"Pkt. 22 Sprawozdanie Komisji o obywatelskim projekcie ustawy o zmianie ustawy o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (druki nr 31 i 69)","poprawka nr 3, wniosek mniejszości nr 3",439,2,"KO","Piotr","Adamowicz",NA,"NO",38,176
25,"2023-11-29T18:42:58","ELECTRONIC",238,21,1,6,10,"Pkt. 22 Sprawozdanie Komisji o obywatelskim projekcie ustawy o zmianie ustawy o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (druki nr 31 i 69)","poprawka nr 3, wniosek mniejszości nr 3",439,3,"PiS","Adam","Andruszkiewicz",NA,"ABSTAIN",38,176
25,"2023-11-29T18:42:58","ELECTRONIC",238,21,1,6,10,"Pkt. 22 Sprawozdanie Komisji o obywatelskim projekcie ustawy o zmianie ustawy o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (druki nr 31 i 69)","poprawka nr 3, wniosek mniejszości nr 3",439,4,"PiS","Waldemar","Andzel","Franciszek","YES",38,176
25,"2023-11-29T18:42:58","ELECTRONIC",238,21,1,6,10,"Pkt. 22 Sprawozdanie Komisji o obywatelskim projekcie ustawy o zmianie ustawy o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (druki nr 31 i 69)","poprawka nr 3, wniosek mniejszości nr 3",439,5,"PiS","Dorota","Arciszewska-Mielewczyk","Irvina","YES",38,176
25,"2023-11-29T18:42:58","ELECTRONIC",238,21,1,6,10,"Pkt. 22 Sprawozdanie Komisji o obywatelskim projekcie ustawy o zmianie ustawy o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (druki nr 31 i 69)","poprawka nr 3, wniosek mniejszości nr 3",439,6,"PiS","Jan","Ardanowski","Krzysztof","ABSTAIN",38,176
25,"2023-11-29T18:42:58","ELECTRONIC",238,21,1,6,10,"Pkt. 22 Sprawozdanie Komisji o obywatelskim projekcie ustawy o zmianie ustawy o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (druki nr 31 i 69)","poprawka nr 3, wniosek mniejszości nr 3",439,7,"PiS","Iwona","Arent","Ewa","YES",38,176
25,"2023-11-29T18:42:58","ELECTRONIC",238,21,1,6,10,"Pkt. 22 Sprawozdanie Komisji o obywatelskim projekcie ustawy o zmianie ustawy o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (druki nr 31 i 69)","poprawka nr 3, wniosek mniejszości nr 3",439,8,"KO","Bartosz","Arłukowicz","Adam","NO",38,176
25,"2023-11-29T18:42:58","ELECTRONIC",238,21,1,6,10,"Pkt. 22 Sprawozdanie Komisji o obywatelskim projekcie ustawy o zmianie ustawy o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (druki nr 31 i 69)","poprawka nr 3, wniosek mniejszości nr 3",439,9,"PiS","Marek","Ast",NA,"YES",38,176
25,"2023-11-29T18:42:58","ELECTRONIC",238,21,1,6,10,"Pkt. 22 Sprawozdanie Komisji o obywatelskim projekcie ustawy o zmianie ustawy o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (druki nr 31 i 69)","poprawka nr 3, wniosek mniejszości nr 3",439,10,"KO","Urszula","Augustyn",NA,"NO",38,176
25,"2023-11-29T18:42:58","ELECTRONIC",238,21,1,6,10,"Pkt. 22 Sprawozdanie Komisji o obywatelskim projekcie ustawy o zmianie ustawy o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (druki nr 31 i 69)","poprawka nr 3, wniosek mniejszości nr 3",439,11,"PiS","Piotr","Babinetz","Mieczysław","YES",38,176
25,"2023-11-29T18:42:58","ELECTRONIC",238,21,1,6,10,"Pkt. 22 Sprawozdanie Komisji o obywatelskim projekcie ustawy o zmianie ustawy o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (druki nr 31 i 69)","poprawka nr 3, wniosek mniejszości nr 3",439,12,"PiS","Ryszard","Bartosik",NA,"YES",38,176
